filename,duration_seconds,duration_minutes,category,timestamp
F_antidromic_combined.ipynb,64.74,1.08,manuscript_figure,2026-07-15 02:23:46
F_basic_ephys.ipynb,57.04,0.95,manuscript_figure,2026-07-15 02:23:46
F_behavior.ipynb,324.50,5.41,manuscript_figure,2026-06-29 19:39:35
F_waveform_space.ipynb,436.24,7.27,manuscript_figure,2026-07-15 02:23:46
F_waveform_space_tetrode.ipynb,60.90,1.02,manuscript_figure,2026-07-15 02:23:46
F_cross_correlation.ipynb,420.41,7.01,manuscript_figure,2026-07-15 02:23:46
F_photometry_tuning_psth.ipynb,348.54,5.81,manuscript_figure,2026-07-15 02:23:46
F_ephys_behavior_action&outcome.ipynb,1242.76,20.71,manuscript_figure,2026-07-15 02:23:46
F_ephys_behavior_examples.ipynb,376.45,6.27,manuscript_figure,2026-07-15 02:23:46
F_hit_miss.ipynb,143.37,2.39,manuscript_figure,2026-07-15 02:23:46
F_pupil_beh_ephys.ipynb,204.40,3.41,manuscript_figure,2026-07-15 02:23:46
F_spatial-axis-comparison.ipynb,673.18,11.22,manuscript_figure,2026-07-15 02:23:46
F_spont_choice_lick_neuron.ipynb,565.74,9.43,manuscript_figure,2026-07-15 02:23:46
F_fiber_location.ipynb,9.38,0.16,manuscript_figure,2026-07-15 02:23:46
F_behavior_w_FP.ipynb,240.45,4.01,manuscript_figure,2026-07-15 02:23:46
F_lick_train_analysis.ipynb,141.24,2.35,manuscript_figure,2026-07-15 02:23:46
TOTAL,5309.34,88.49,manuscript_figure,2026-07-15 02:23:46
