session,unit,max_auc_lag
behavior_716325_2024-05-31_10-31-14,87.0,1.0499999999999996
behavior_716325_2024-05-31_10-31-14,377.0,1.2499999999999996
behavior_716325_2024-05-31_10-31-14,379.0,0.8499999999999996
behavior_717121_2024-06-15_10-00-58,162.0,
behavior_751004_2024-12-19_11-50-37,297,1.9499999999999995
behavior_751004_2024-12-20_13-26-11,32,2.3499999999999996
behavior_751004_2024-12-20_13-26-11,40,2.3499999999999996
behavior_751004_2024-12-20_13-26-11,263,2.2499999999999996
behavior_751004_2024-12-20_13-26-11,268,0.75
behavior_751004_2024-12-21_13-28-28,6,0.75
behavior_751004_2024-12-21_13-28-28,22,0.75
behavior_751004_2024-12-21_13-28-28,33,0.75
behavior_751004_2024-12-21_13-28-28,48,1.9499999999999995
behavior_751004_2024-12-21_13-28-28,129,2.2499999999999996
behavior_751004_2024-12-21_13-28-28,192,0.75
behavior_751004_2024-12-23_14-20-03,21,2.2499999999999996
behavior_751004_2024-12-23_14-20-03,145,0.75
behavior_751004_2024-12-23_14-20-03,146,1.9499999999999995
behavior_751004_2024-12-23_14-20-03,192,0.75
behavior_751769_2025-01-16_11-32-05,12,2.2499999999999996
behavior_751769_2025-01-17_11-37-39,22,0.75
behavior_751769_2025-01-17_11-37-39,23,1.8499999999999994
behavior_751769_2025-01-17_11-37-39,276,1.5499999999999996
behavior_751769_2025-01-17_11-37-39,288,1.9499999999999995
behavior_751769_2025-01-18_10-15-25,13,0.75
behavior_751769_2025-01-18_10-15-25,20,1.7499999999999993
behavior_751769_2025-01-18_10-15-25,23,1.7499999999999993
behavior_751769_2025-01-18_10-15-25,29,1.9499999999999995
behavior_751769_2025-01-18_10-15-25,49,1.5499999999999996
behavior_751769_2025-01-18_10-15-25,194,1.9499999999999995
behavior_751769_2025-01-18_10-15-25,264,1.9499999999999995
behavior_758017_2025-02-04_11-57-38,2,0.75
behavior_758017_2025-02-04_11-57-38,5,1.2499999999999996
behavior_758017_2025-02-04_11-57-38,12,0.75
behavior_758017_2025-02-04_11-57-38,14,0.75
behavior_758017_2025-02-04_11-57-38,15,1.0499999999999996
behavior_758017_2025-02-04_11-57-38,19,1.3499999999999994
behavior_758017_2025-02-04_11-57-38,195,1.0499999999999996
behavior_758017_2025-02-04_11-57-38,196,0.75
behavior_758017_2025-02-04_11-57-38,199,1.1499999999999997
behavior_758017_2025-02-05_11-42-34,37,1.8499999999999994
behavior_758017_2025-02-07_14-11-08,15,0.75
behavior_758017_2025-02-07_14-11-08,17,0.8499999999999996
behavior_758017_2025-02-07_14-11-08,22,1.5499999999999996
behavior_758017_2025-02-07_14-11-08,23,0.75
behavior_758017_2025-02-07_14-11-08,30,2.3499999999999996
behavior_758017_2025-02-07_14-11-08,31,1.5499999999999996
behavior_758017_2025-02-07_14-11-08,44,1.3499999999999994
behavior_751766_2025-02-11_11-53-38,11,1.2499999999999996
behavior_751766_2025-02-11_11-53-38,40,1.2499999999999996
behavior_751766_2025-02-11_11-53-38,41,0.75
behavior_751766_2025-02-11_11-53-38,46,1.6499999999999992
behavior_751766_2025-02-11_11-53-38,53,0.75
behavior_751766_2025-02-11_11-53-38,55,1.0499999999999996
behavior_751766_2025-02-11_11-53-38,59,0.75
behavior_751766_2025-02-11_11-53-38,285,1.2499999999999996
behavior_751766_2025-02-13_11-31-21,16,1.1499999999999997
behavior_751766_2025-02-13_11-31-21,24,1.0499999999999996
behavior_751766_2025-02-13_11-31-21,144,0.9499999999999995
behavior_751766_2025-02-14_11-37-11,32,1.2499999999999996
behavior_751766_2025-02-14_11-37-11,35,0.75
behavior_751766_2025-02-14_11-37-11,36,2.05
behavior_751766_2025-02-14_11-37-11,37,2.3499999999999996
behavior_751766_2025-02-14_11-37-11,39,0.75
behavior_751766_2025-02-14_11-37-11,243,2.1499999999999995
behavior_751766_2025-02-14_11-37-11,247,2.1499999999999995
behavior_751766_2025-02-14_11-37-11,249,1.9499999999999995
behavior_751181_2025-02-25_12-12-35,14,0.75
behavior_751181_2025-02-25_12-12-35,29,0.75
behavior_751181_2025-02-26_11-51-19,24,0.75
behavior_751181_2025-02-26_11-51-19,39,0.75
behavior_751181_2025-02-26_11-51-19,45,0.75
behavior_751181_2025-02-26_11-51-19,46,0.75
behavior_751181_2025-02-26_11-51-19,61,0.75
behavior_751181_2025-02-26_11-51-19,62,1.5499999999999996
behavior_751181_2025-02-26_11-51-19,77,0.75
behavior_751181_2025-02-26_11-51-19,273,0.75
behavior_751181_2025-02-27_11-24-47,13,1.0499999999999996
behavior_751181_2025-02-27_11-24-47,28,0.75
behavior_751181_2025-02-27_11-24-47,32,0.75
behavior_751181_2025-02-27_11-24-47,44,0.75
behavior_751181_2025-02-27_11-24-47,46,1.0499999999999996
behavior_751181_2025-02-27_11-24-47,52,1.3499999999999994
behavior_751181_2025-02-27_11-24-47,57,1.3499999999999994
behavior_751181_2025-02-27_11-24-47,244,1.1499999999999997
behavior_751181_2025-02-27_11-24-47,245,1.5499999999999996
behavior_754897_2025-03-12_12-23-15,101,0.75
behavior_754897_2025-03-13_11-20-42,10,0.75
behavior_754897_2025-03-13_11-20-42,26,0.8499999999999996
behavior_754897_2025-03-13_11-20-42,27,0.75
behavior_754897_2025-03-13_11-20-42,28,0.8499999999999996
behavior_754897_2025-03-13_11-20-42,30,0.75
behavior_754897_2025-03-13_11-20-42,36,0.8499999999999996
behavior_754897_2025-03-13_11-20-42,41,0.8499999999999996
behavior_754897_2025-03-13_11-20-42,47,1.7499999999999993
behavior_754897_2025-03-13_11-20-42,49,0.8499999999999996
behavior_754897_2025-03-13_11-20-42,54,0.9499999999999995
behavior_754897_2025-03-13_11-20-42,69,0.8499999999999996
behavior_754897_2025-03-13_11-20-42,242,0.75
behavior_754897_2025-03-13_11-20-42,283,0.9499999999999995
behavior_754897_2025-03-14_11-28-53,15,0.75
behavior_754897_2025-03-14_11-28-53,16,0.75
behavior_754897_2025-03-14_11-28-53,17,0.75
behavior_754897_2025-03-14_11-28-53,19,0.75
behavior_754897_2025-03-14_11-28-53,21,0.8499999999999996
behavior_754897_2025-03-14_11-28-53,44,0.75
behavior_754897_2025-03-14_11-28-53,51,2.2499999999999996
behavior_754897_2025-03-14_11-28-53,113,0.8499999999999996
behavior_758018_2025-03-19_11-16-44,9,0.75
behavior_758018_2025-03-19_11-16-44,10,0.75
behavior_758018_2025-03-19_11-16-44,11,0.75
behavior_758018_2025-03-19_11-16-44,13,0.75
behavior_758018_2025-03-19_11-16-44,16,1.1499999999999997
behavior_758018_2025-03-19_11-16-44,18,0.75
behavior_758018_2025-03-19_11-16-44,20,0.75
behavior_758018_2025-03-19_11-16-44,25,0.8499999999999996
behavior_758018_2025-03-19_11-16-44,36,0.75
behavior_758018_2025-03-20_11-53-05,19,0.8499999999999996
behavior_758018_2025-03-20_11-53-05,26,0.75
behavior_758018_2025-03-20_11-53-05,32,0.8499999999999996
behavior_758018_2025-03-20_11-53-05,45,0.75
behavior_752014_2025-03-25_12-09-20,25,0.75
behavior_752014_2025-03-26_11-18-57,44,0.75
behavior_752014_2025-03-26_11-18-57,46,0.8499999999999996
behavior_752014_2025-03-28_11-04-59,15,0.75
behavior_752014_2025-03-28_11-04-59,27,0.75
behavior_752014_2025-03-28_11-04-59,29,2.1499999999999995
behavior_752014_2025-03-28_11-04-59,34,0.75
behavior_761038_2025-04-15_10-25-11,13,0.75
behavior_761038_2025-04-15_10-25-11,14,1.3499999999999994
behavior_761038_2025-04-15_10-25-11,27,0.75
behavior_761038_2025-04-15_10-25-11,34,0.75
behavior_761038_2025-04-15_10-25-11,248,0.75
behavior_761038_2025-04-15_10-25-11,262,0.75
behavior_761038_2025-04-15_10-25-11,274,0.75
behavior_761038_2025-04-15_10-25-11,456,2.1499999999999995
behavior_761038_2025-04-16_10-39-10,10,2.3499999999999996
behavior_761038_2025-04-16_10-39-10,209,1.5499999999999996
behavior_761038_2025-04-16_10-39-10,213,1.1499999999999997
behavior_761038_2025-04-18_12-37-39,12,1.1499999999999997
behavior_761038_2025-04-18_12-37-39,15,2.3499999999999996
behavior_761038_2025-04-18_12-37-39,142,0.75
behavior_782394_2025-04-23_10-51-17,4,0.75
behavior_782394_2025-04-23_10-51-17,5,0.75
behavior_782394_2025-04-23_10-51-17,7,0.75
behavior_782394_2025-04-23_10-51-17,11,0.75
behavior_782394_2025-04-23_10-51-17,13,1.1499999999999997
behavior_782394_2025-04-23_10-51-17,15,2.3499999999999996
behavior_782394_2025-04-23_10-51-17,17,0.75
behavior_782394_2025-04-23_10-51-17,20,0.75
behavior_782394_2025-04-23_10-51-17,25,1.1499999999999997
behavior_782394_2025-04-23_10-51-17,34,0.75
behavior_782394_2025-04-23_10-51-17,43,0.75
behavior_782394_2025-04-23_10-51-17,44,2.3499999999999996
behavior_782394_2025-04-23_10-51-17,53,0.75
behavior_782394_2025-04-23_10-51-17,66,0.9499999999999995
behavior_782394_2025-04-23_10-51-17,223,1.2499999999999996
behavior_782394_2025-04-23_10-51-17,264,1.0499999999999996
behavior_782394_2025-04-24_12-07-34,20,1.9499999999999995
behavior_782394_2025-04-24_12-07-34,41,2.2499999999999996
behavior_782394_2025-04-24_12-07-34,56,2.2499999999999996
behavior_782394_2025-04-24_12-07-34,59,0.75
behavior_782394_2025-04-24_12-07-34,69,2.3499999999999996
behavior_782394_2025-04-24_12-07-34,97,1.7499999999999993
behavior_782394_2025-04-24_12-07-34,98,2.2499999999999996
behavior_782394_2025-04-24_12-07-34,101,2.3499999999999996
behavior_782394_2025-04-24_12-07-34,367,2.2499999999999996
behavior_782394_2025-04-24_12-07-34,373,2.3499999999999996
behavior_782394_2025-04-24_12-07-34,437,2.3499999999999996
behavior_763590_2025-05-01_10-59-18,14,0.75
behavior_763590_2025-05-01_10-59-18,51,1.3499999999999994
behavior_763590_2025-05-02_11-07-09,24,0.75
behavior_763590_2025-05-02_11-07-09,44,0.9499999999999995
behavior_763590_2025-05-02_11-07-09,47,0.75
behavior_781166_2025-05-13_14-04-27,37,0.9499999999999995
behavior_781166_2025-05-13_14-04-27,317,0.75
behavior_781166_2025-05-15_14-20-51,59,1.6499999999999992
behavior_781166_2025-05-16_14-16-34,70,1.8499999999999994
behavior_781166_2025-05-16_14-16-34,72,1.9499999999999995
behavior_785956_2025-05-20_14-15-19,208,0.75
behavior_785956_2025-05-21_13-42-02,66,1.0499999999999996
behavior_785956_2025-05-23_13-45-21,17,0.75
behavior_785956_2025-05-23_13-45-21,23,1.1499999999999997
behavior_785956_2025-05-23_13-45-21,34,1.0499999999999996
behavior_784806_2025-06-20_13-39-16,72,0.75
behavior_784806_2025-06-20_13-39-16,649,0.75
behavior_791691_2025-06-24_13-21-29,41,0.75
behavior_791691_2025-06-24_13-21-29,50,2.05
