session,unit,max_auc_lag
behavior_ZS059_2021-03-29_14-41-57,TT4_SS_01,0.75
behavior_ZS059_2021-04-01_14-17-46,TT4_SS_01,1.3499999999999994
behavior_ZS059_2021-04-15_15-29-28,TT4_SS_01,1.3499999999999994
behavior_ZS059_2021-04-21_15-58-55,TT4_SS_01,0.75
behavior_ZS059_2021-04-22_15-11-25,TT4_SS_02,0.75
behavior_ZS059_2021-04-23_14-57-50,TT3_SS_01,0.75
behavior_ZS060_2021-03-29_16-21-37,TT6_SS_01,0.75
behavior_ZS060_2021-04-07_15-21-40,TT7_SS_01,0.75
behavior_ZS060_2021-04-08_16-55-35,TT6_SS_01,1.1499999999999997
behavior_ZS060_2021-04-15_19-06-02,TT2_SS_01,0.75
behavior_ZS061_2021-03-20_18-03-26,TT3_SS_01,1.3499999999999994
behavior_ZS061_2021-03-20_18-03-26,TT4_SS_01,1.3499999999999994
behavior_ZS061_2021-03-22_17-35-53,TT3_SS_03,0.75
behavior_ZS061_2021-03-22_17-35-53,TT4_SS_01,0.75
behavior_ZS061_2021-03-23_16-08-12,TT1_SS_02,0.8499999999999996
behavior_ZS061_2021-03-23_16-08-12,TT3_SS_01,0.75
behavior_ZS061_2021-03-23_16-08-12,TT4_SS_01,0.9499999999999995
behavior_ZS061_2021-03-24_17-24-09,TT1_SS_01,0.9499999999999995
behavior_ZS061_2021-03-24_17-24-09,TT3_SS_01,0.75
behavior_ZS061_2021-03-24_17-24-09,TT3_SS_03,1.3499999999999994
behavior_ZS061_2021-03-24_17-24-09,TT4_SS_02,1.3499999999999994
behavior_ZS061_2021-03-25_17-12-27,TT1_SS_01,0.9499999999999995
behavior_ZS061_2021-03-25_17-12-27,TT1_SS_02,0.75
behavior_ZS061_2021-03-25_17-12-27,TT3_SS_01,0.75
behavior_ZS061_2021-03-25_17-12-27,TT3_SS_02,0.75
behavior_ZS061_2021-03-25_17-12-27,TT3_SS_03,1.3499999999999994
behavior_ZS061_2021-03-25_17-12-27,TT4_SS_04,1.3499999999999994
behavior_ZS061_2021-03-26_17-28-33,TT1_SS_02,0.75
