session,unit_id,PrL,S1,V1,SC,projection,tier,found
behavior_716325_2024-05-31_10-31-14,197,0,3,,,S1,3,1
behavior_716325_2024-05-31_10-31-14,379,0,3,,,S1,3,1
behavior_716325_2024-05-31_10-31-14,385,0,2,,,S1,2,1
behavior_717121_2024-06-15_10-00-58,56,0,0,3,,V1,2,
behavior_717121_2024-06-15_10-00-58,64,0,0,3,,V1,2,
behavior_717121_2024-06-15_10-00-58,75,1,0,2,,PrL,1,1
behavior_717121_2024-06-15_10-00-58,79,0,0,3,,V1,2,
behavior_717121_2024-06-15_10-00-58,84,0,0,2,,V1,2,
behavior_717121_2024-06-15_10-00-58,142,0,0,2,,V1,2,
behavior_717121_2024-06-15_10-00-58,201,0,0,2,,V1,2,
behavior_751004_2024-12-20_13-26-11,21,0,1,,,S1,2,1
behavior_751004_2024-12-20_13-26-11,266,0,2,,,S1,2,1
behavior_751004_2024-12-20_13-26-11,267,0,2,,,S1,2,1
behavior_751004_2024-12-21_13-28-28,192,0,2,,,S1,2,1
behavior_751004_2024-12-23_14-20-03,145,0,0,2,,,,
behavior_751004_2024-12-23_14-20-03,192,0,0,2,,,,
behavior_751181_2025-02-25_12-12-35,14,0,3,0,,,,
behavior_751181_2025-02-25_12-12-35,22,0,3,0,,S1,3,1
behavior_751181_2025-02-25_12-12-35,26,0,3,0,,S1,3,1
behavior_751181_2025-02-25_12-12-35,29,0,3,0,,,,
behavior_751181_2025-02-26_11-51-19,35,0,1,0,,PrL,2,1
behavior_751181_2025-02-26_11-51-19,39,2,2,0,,S1,2,1
behavior_751181_2025-02-26_11-51-19,43,2,1,0,,PrL,1,1
behavior_751181_2025-02-26_11-51-19,46,1,1,0,,PrL,1,1
behavior_751181_2025-02-26_11-51-19,49,1,0,0,,PrL,2,1
behavior_751181_2025-02-26_11-51-19,62,0,3,0,,,,
behavior_751181_2025-02-26_11-51-19,65,1,0,0,,PrL,2,1
behavior_751181_2025-02-26_11-51-19,225,1,0,0,,PrL,1,1
behavior_751181_2025-02-26_11-51-19,273,0,1,0,,S1,1,1
behavior_751181_2025-02-26_11-51-19,275,1,2,0,,PrL,2,1
behavior_751181_2025-02-27_11-24-47,44,0,2,0,,PrL,2,1
behavior_751181_2025-02-27_11-24-47,46,1,1,0,,PrL,1,1
behavior_751181_2025-02-27_11-24-47,57,0,1,0,,S1,2,1
behavior_751181_2025-02-27_11-24-47,244,0,1,0,,S1,1,1
behavior_751766_2025-02-11_11-53-38,43,0,3,0,,S1,3,1
behavior_751766_2025-02-11_11-53-38,44,0,3,3,,PrL,3,1
behavior_751766_2025-02-13_11-31-21,16,0,3,0,,,,
behavior_751766_2025-02-13_11-31-21,23,0,2,0,,S1,2,1
behavior_751766_2025-02-13_11-31-21,24,0,2,0,,S1,2,1
behavior_751766_2025-02-13_11-31-21,31,0,1,0,,S1,1,1
behavior_751766_2025-02-14_11-37-11,36,0,3,0,,S1,3,1
behavior_751766_2025-02-14_11-37-11,249,0,3,0,,S1,3,1
behavior_751769_2025-01-16_11-32-05,18,0,2,0,,S1,2,1
behavior_751769_2025-01-16_11-32-05,19,0,1,0,,S1,1,1
behavior_751769_2025-01-17_11-37-39,22,0,2,,,S1,2,1
behavior_751769_2025-01-17_11-37-39,25,0,2,,,S1,2,1
behavior_751769_2025-01-17_11-37-39,19,1,1,,,PrL,1,1
behavior_751769_2025-01-17_11-37-39,19,0,1,,,S1,1,1
behavior_751769_2025-01-17_11-37-39,288,0,1,,,S1,1,1
behavior_751769_2025-01-18_10-15-25,13,0,3,2,,,,
behavior_751769_2025-01-18_10-15-25,18,0,0,3,,,,
behavior_751769_2025-01-18_10-15-25,20,2,2,2,,PrL,2,1
behavior_751769_2025-01-18_10-15-25,23,0,0,2,,,,
behavior_751769_2025-01-18_10-15-25,29,0,1,2,,S1,1,1
behavior_751769_2025-01-18_10-15-25,49,0,0,2,,,,
behavior_751769_2025-01-18_10-15-25,194,0,0,2,,,,
behavior_751769_2025-01-18_10-15-25,264,0,0,3,,,,
behavior_751769_2025-01-18_10-15-25,266,0,0,3,,,,
behavior_751769_2025-01-18_10-15-25,267,1,2,2,,PrL,1,1
behavior_752014_2025-03-25_12-09-20,25,0,3,,0,,,
behavior_752014_2025-03-25_12-09-20,26,3,3,,0,PrL,2,1
behavior_752014_2025-03-25_12-09-20,27,0,1,,0,S1,1,1
behavior_752014_2025-03-26_11-18-57,44,0,3,,0,,,
behavior_752014_2025-03-26_11-18-57,46,0,1,,0,S1,1,1
behavior_752014_2025-03-28_11-04-59,27,1,1,,0,PrL,1,1
behavior_752014_2025-03-28_11-04-59,27,0,2,,0,S1,1,1
behavior_754897_2025-03-13_11-20-42,46,0,2,,0,S1,2,1
behavior_754897_2025-03-13_11-20-42,49,1,1,,0,PrL,1,1
behavior_754897_2025-03-13_11-20-42,56,0,2,,0,PrL,2,1
behavior_754897_2025-03-13_11-20-42,62,2,2,,0,PrL,2,1
behavior_754897_2025-03-13_11-20-42,64,2,0,,0,PrL,2,1
behavior_754897_2025-03-13_11-20-42,283,0,3,,0,,,
behavior_754897_2025-03-14_11-28-53,45,3,3,,0,PrL,1,1
behavior_754897_2025-03-14_11-28-53,48,2,2,,0,PrL,2,1
behavior_758017_2025-02-04_11-57-38,5,0,3,,,,,
behavior_758017_2025-02-04_11-57-38,195,0,3,,,,,
behavior_758017_2025-02-05_11-42-34,37,0,3,,,,,
behavior_758017_2025-02-07_14-11-08,28,0,2,,,S1,2,1
behavior_758017_2025-02-07_14-11-08,44,0,2,,,,,
behavior_758018_2025-03-19_11-16-44,15,0,2,,0,S1,1,1
behavior_758018_2025-03-19_11-16-44,18,0,2,,0,,,
behavior_758018_2025-03-19_11-16-44,20,2,2,,0,PrL,2,1
behavior_758018_2025-03-19_11-16-44,22,0,1,,0,S1,1,1
behavior_758018_2025-03-19_11-16-44,25,0,1,,0,S1,2,1
behavior_758018_2025-03-19_11-16-44,31,0,2,,0,S1,2,1
behavior_758018_2025-03-19_11-16-44,36,2,0,,0,PrL,2,1
behavior_758018_2025-03-19_11-16-44,175,2,2,,0,PrL,2,1
behavior_761038_2025-04-15_10-25-11,13,0,3,,0,,,
behavior_761038_2025-04-15_10-25-11,14,0,3,,0,,,
behavior_761038_2025-04-15_10-25-11,52,2,2,,0,PrL,2,1
behavior_761038_2025-04-15_10-25-11,265,2,2,,0,PrL,2,1
behavior_761038_2025-04-15_10-25-11,456,0,3,,0,,,
behavior_761038_2025-04-16_10-39-10,19,0,2,,0,S1,2,1
behavior_761038_2025-04-16_10-39-10,20,0,2,,0,S1,2,1
behavior_761038_2025-04-16_10-39-10,29,0,2,,0,PrL,2,1
behavior_761038_2025-04-16_10-39-10,34,0,2,,0,,,
behavior_761038_2025-04-16_10-39-10,35,0,3,,0,S1,2,1
behavior_761038_2025-04-16_10-39-10,137,0,1,,0,,,
behavior_761038_2025-04-16_10-39-10,209,0,3,,0,,,
behavior_761038_2025-04-16_10-39-10,212,0,3,,0,,,
behavior_761038_2025-04-17_11-03-16,129,2,2,,0,PrL,2,1
behavior_763590_2025-05-01_10-59-18,51,0,3,,0,,,
behavior_763590_2025-05-02_11-07-09,24,0,3,,0,,,
behavior_763590_2025-05-02_11-07-09,29,0,3,,0,,,
behavior_763590_2025-05-02_11-07-09,30,0,3,,0,,,
behavior_763590_2025-05-02_11-07-09,47,0,3,,0,,,
behavior_781166_2025-05-13_14-04-27,26,0,3,,0,,,
behavior_781166_2025-05-13_14-04-27,317,0,3,,0,,,
behavior_781166_2025-05-16_14-16-34,70,1,1,,0,,,
behavior_781166_2025-05-16_14-16-34,72,0,1,,0,,,
behavior_782394_2025-04-22_10-53-28,57,3,2,,0,,,
behavior_782394_2025-04-22_10-53-28,87,2,1,,0,,,
behavior_782394_2025-04-22_10-53-28,98,0,1,,0,,,
behavior_782394_2025-04-23_10-51-17,4,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,5,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,7,0,2,,0,,,
behavior_782394_2025-04-23_10-51-17,11,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,13,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,18,1,2,,0,,,
behavior_782394_2025-04-23_10-51-17,22,2,2,,0,,,
behavior_782394_2025-04-23_10-51-17,24,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,25,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,28,1,1,,0,,,
behavior_782394_2025-04-23_10-51-17,30,0,1,,0,,,
behavior_782394_2025-04-23_10-51-17,34,3,2,,0,,,
behavior_782394_2025-04-23_10-51-17,38,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,42,1,0,,0,,,
behavior_782394_2025-04-23_10-51-17,43,0,2,,0,,,
behavior_782394_2025-04-23_10-51-17,44,2,0,,0,,,
behavior_782394_2025-04-23_10-51-17,48,1,2,,0,,,
behavior_782394_2025-04-23_10-51-17,53,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,55,1,1,,0,,,
behavior_782394_2025-04-23_10-51-17,58,2,2,,0,,,
behavior_782394_2025-04-23_10-51-17,66,0,2,,0,,,
behavior_782394_2025-04-23_10-51-17,67,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,72,0,2,,0,,,
behavior_782394_2025-04-23_10-51-17,76,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,223,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,231,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,232,1,3,,0,,,
behavior_782394_2025-04-23_10-51-17,233,0,3,,0,,,
behavior_782394_2025-04-23_10-51-17,264,1,3,,0,,,
behavior_782394_2025-04-24_12-07-34,20,0,3,,0,,,
behavior_782394_2025-04-24_12-07-34,25,0,3,,0,,,
behavior_782394_2025-04-24_12-07-34,28,0,3,,0,,,
behavior_782394_2025-04-24_12-07-34,30,0,3,,0,,,
behavior_782394_2025-04-24_12-07-34,41,0,3,,0,,,
behavior_782394_2025-04-24_12-07-34,57,0,2,,0,,,
behavior_782394_2025-04-24_12-07-34,73,2,2,,0,,,
behavior_782394_2025-04-24_12-07-34,87,0,2,,0,,,
behavior_782394_2025-04-24_12-07-34,90,1,2,,0,,,
behavior_782394_2025-04-24_12-07-34,91,2,2,,0,,,
behavior_782394_2025-04-24_12-07-34,99,0,3,,0,,,
behavior_782394_2025-04-24_12-07-34,107,0,1,,0,,,
behavior_782394_2025-04-24_12-07-34,366,1,0,,0,,,
behavior_782394_2025-04-24_12-07-34,373,0,3,,0,,,
behavior_782394_2025-04-24_12-07-34,433,0,1,,0,,,
behavior_782394_2025-04-24_12-07-34,437,0,3,,0,,,
behavior_784803_2025-07-01_13-58-26,38,0,3,,0,,,
behavior_784803_2025-07-01_13-58-26,62,0,3,,0,,,
behavior_784803_2025-07-01_13-58-26,67,0,3,,0,,,
behavior_784803_2025-07-01_13-58-26,72,0,3,,0,,,
behavior_784803_2025-07-01_13-58-26,376,0,3,,0,,,
behavior_784803_2025-07-02_13-41-41,27,1,1,,0,,,
behavior_784803_2025-07-02_13-41-41,32,0,3,,0,,,
behavior_784803_2025-07-02_13-41-41,37,0,3,,0,,,
behavior_784803_2025-07-02_13-41-41,43,2,2,,0,,,
behavior_784806_2025-06-17_14-59-23,64,0,3,,0,,,
behavior_784806_2025-06-20_13-39-16,71,0,3,,0,,,
behavior_785956_2025-05-21_13-42-02,66,0,3,,0,,,
behavior_785956_2025-05-23_13-45-21,17,0,3,,0,,,
behavior_785956_2025-05-23_13-45-21,23,0,3,,0,,,
behavior_785956_2025-05-23_13-45-21,28,0,2,,0,,,
behavior_785956_2025-05-23_13-45-21,29,3,2,,0,,,
behavior_785956_2025-05-23_13-45-21,34,3,3,,0,,,
behavior_785956_2025-05-23_13-45-21,35,0,2,,0,,,
behavior_791691_2025-06-24_13-21-29,41,0,3,,0,,,
behavior_791691_2025-06-24_13-21-29,44,0,2,,0,,,
behavior_791691_2025-06-24_13-21-29,48,0,3,,0,,,
behavior_791691_2025-06-24_13-21-29,50,2,3,,0,,,
behavior_791691_2025-06-24_13-21-29,51,1,1,,0,,,
behavior_791691_2025-06-24_13-21-29,52,2,3,,0,,,
behavior_791691_2025-06-24_13-21-29,59,0,3,,0,,,
behavior_791691_2025-06-24_13-21-29,62,2,2,,0,,,
behavior_791691_2025-06-24_13-21-29,67,0,3,,0,,,
behavior_791691_2025-06-24_13-21-29,455,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,25,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,26,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,29,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,32,3,3,,0,,,
behavior_791691_2025-06-25_14-06-10,56,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,58,2,0,,0,,,
behavior_791691_2025-06-25_14-06-10,59,2,3,,0,,,
behavior_791691_2025-06-25_14-06-10,60,2,3,,0,,,
behavior_791691_2025-06-25_14-06-10,61,2,3,,0,,,
behavior_791691_2025-06-25_14-06-10,63,1,0,,0,,,
behavior_791691_2025-06-25_14-06-10,65,3,3,,0,,,
behavior_791691_2025-06-25_14-06-10,66,2,1,,0,,,
behavior_791691_2025-06-25_14-06-10,69,2,2,,0,,,
behavior_791691_2025-06-25_14-06-10,70,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,72,1,2,,0,,,
behavior_791691_2025-06-25_14-06-10,76,1,1,,0,,,
behavior_791691_2025-06-25_14-06-10,82,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,91,3,2,,0,,,
behavior_791691_2025-06-25_14-06-10,92,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,95,2,2,,0,,,
behavior_791691_2025-06-25_14-06-10,99,2,1,,0,,,
behavior_791691_2025-06-25_14-06-10,103,1,3,,0,,,
behavior_791691_2025-06-25_14-06-10,570,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,574,3,3,,0,,,
behavior_791691_2025-06-25_14-06-10,576,0,3,,0,,,
behavior_791691_2025-06-25_14-06-10,577,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,17,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,22,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,23,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,30,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,37,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,43,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,55,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,56,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,57,3,2,,0,,,
behavior_791691_2025-06-27_13-54-30,279,0,3,,0,,,
behavior_791691_2025-06-27_13-54-30,366,0,2,,0,,,
ecephys_713854_2024-03-08_15-43-01,3,1,,,,PrL,1,1
ecephys_713854_2024-03-08_15-43-01,20,2,,,,PrL,2,1
ecephys_713854_2024-03-08_15-43-01,173,1,,,,PrL,1,1
ecephys_717120_2024-03-06_12-54-27,63,1,,,,PrL,1,1
ecephys_717120_2024-03-06_12-54-27,65,1,,,,PrL,1,1
ecephys_717120_2024-03-06_12-54-27,151,2,,,,PrL,2,1
,,,,,,,,
