session_id,raw_data,old_id
behavior_669489_2023-06-24_14-56-01,436f82f0-b822-4c4f-a6f2-de574cd10e9f,m669489d20230624
behavior_669489_2023-06-26_16-23-02,73a1281c-776d-4b1c-900f-a0cccc62dd5e,m669489d20230626
behavior_669489_2023-06-27_14-20-19,ee446658-d3f4-44fd-bf66-6a1fecc0e856,m669489d20230627
behavior_669489_2023-06-28_13-10-12,b3890be9-8f36-4aec-9959-92eaaaed8b83,m669489d20230628
behavior_669489_2023-06-29_16-16-02,619adbe8-883d-4898-8414-cfa004d6efa5,m669489d20230629
behavior_669489_2023-06-30_12-51-58,f5329d8b-4122-4e4e-bfe3-277b764de7be,m669489d20230630
behavior_669489_2023-07-01_16-31-54,0a92cda5-b35e-4f78-8106-d164b7595fde,m669489d20230701
behavior_669489_2023-07-02_12-49-06,5e9a2478-ce49-498b-b871-4eb3f33031a6,m669489d20230702
behavior_669489_2023-07-03_11-31-11,9cc71538-23e3-4e40-92c0-36eeda16c9d3,m669489d20230703
behavior_669489_2023-07-04_14-24-45,270cd8e6-9015-4058-8259-3f32ee3c0e74,m669489d20230704
behavior_669489_2023-07-05_15-44-55,47f3bc2c-7ed7-4157-b220-ba7e32c52cc7,m669489d20230705
behavior_669489_2023-07-06_13-50-08,4727ee24-04ae-48e5-9adb-8ae609b62cf6,m669489d20230706
behavior_669489_2023-07-07_15-15-49,1f3045c6-e2d6-45f9-9027-d8ffae12e11a,m669489d20230707
behavior_669489_2023-07-08_17-24-38,06fcc54c-8fcd-4c3c-918c-11bad4c20c12,m669489d20230708
behavior_669489_2023-07-10_14-24-28,1600f74d-04f1-4c79-9033-be5120235333,m669489d20230710
behavior_669489_2023-07-11_16-43-36,86880d16-effd-4cf9-b4cf-175852a54d73,m669489d20230711
behavior_669489_2023-07-12_15-26-19,96c25648-133a-491e-b872-e59dcb9f7173,m669489d20230712
behavior_669492_2023-06-24_17-28-24,63496414-6e09-480f-b0c1-44b4cc9006cb,m669492d20230624
behavior_669492_2023-06-26_19-14-31,8300170b-5009-4fe0-8cfa-8fd73325a8bf,m669492d20230626
behavior_669492_2023-06-29_18-28-17,735a08e3-d891-45dd-8c89-17a93225d442,m669492d20230629
behavior_669492_2023-06-30_15-51-45,80570e34-f51a-4d3f-a44a-faac43f5c315,m669492d20230630
behavior_669492_2023-07-01_19-25-23,296c0f88-3e7b-4b93-9463-b8947be81c6b,m669492d20230701
behavior_669492_2023-07-02_16-02-53,6ce3d8c0-699e-4485-8446-1ac2cc52c30a,m669492d20230702
behavior_669492_2023-07-03_15-55-33,510c24f4-bd64-473d-846e-11c7dc82bae3,m669492d20230703
